,FILM,IMDB,IMDB_norm
0,Avengers: Age of Ultron (2015),7.8,3.9
1,Cinderella (2015),7.1,3.55
2,Ant-Man (2015),7.8,3.9
3,Do You Believe? (2015),5.4,2.7
4,Hot Tub Time Machine 2 (2015),5.1,2.55
5,The Water Diviner (2015),7.2,3.6
6,Irrational Man (2015),6.9,3.45
7,Top Five (2014),6.5,3.25
8,Shaun the Sheep Movie (2015),7.4,3.7
9,Love & Mercy (2015),7.8,3.9
10,Far From The Madding Crowd (2015),7.2,3.6
11,Black Sea (2015),6.4,3.2
12,Leviathan (2014),7.7,3.85
13,Unbroken (2014),7.2,3.6
14,The Imitation Game (2014),8.1,4.05
15,Taken 3 (2015),6.1,3.05
16,Ted 2 (2015),6.6,3.3
17,Southpaw (2015),7.8,3.9
18,Night at the Museum: Secret of the Tomb (2014),6.3,3.15
19,Pixels (2015),5.6,2.8
20,"McFarland, USA (2015)",7.5,3.75
21,Insidious: Chapter 3 (2015),6.3,3.15
22,The Man From U.N.C.L.E. (2015),7.6,3.8
23,Run All Night (2015),6.6,3.3
24,Trainwreck (2015),6.7,3.35
25,Selma (2014),7.5,3.75
26,Ex Machina (2015),7.7,3.85
27,Still Alice (2015),7.5,3.75
28,Wild Tales (2014),8.2,4.1
29,The End of the Tour (2015),7.9,3.95
30,Red Army (2015),7.7,3.85
31,When Marnie Was There (2015),7.8,3.9
32,The Hunting Ground (2015),7.5,3.75
33,The Boy Next Door (2015),4.6,2.3
34,Aloha (2015),5.5,2.75
35,The Loft (2015),6.3,3.15
36,5 Flights Up (2015),6.1,3.05
37,Welcome to Me (2015),5.9,2.95
38,Saint Laurent (2015),6.3,3.15
39,Maps to the Stars (2015),6.3,3.15
40,I'll See You In My Dreams (2015),6.9,3.45
41,Timbuktu (2015),7.2,3.6
42,About Elly (2015),8.2,4.1
43,The Diary of a Teenage Girl (2015),7.0,3.5
44,Kingsman: The Secret Service (2015),7.8,3.9
45,Tomorrowland (2015),6.6,3.3
46,The Divergent Series: Insurgent (2015),6.4,3.2
47,Annie (2014),5.2,2.6
48,Fantastic Four (2015),4.0,2.0
49,Terminator Genisys (2015),6.9,3.45
50,Pitch Perfect 2 (2015),6.7,3.35
51,Entourage (2015),7.1,3.55
52,The Age of Adaline (2015),7.3,3.65
53,Hot Pursuit (2015),4.9,2.45
54,The DUFF (2015),6.6,3.3
55,Black or White (2015),6.6,3.3
56,Project Almanac (2015),6.4,3.2
57,Ricki and the Flash (2015),6.2,3.1
58,Seventh Son (2015),5.5,2.75
59,Mortdecai (2015),5.5,2.75
60,Unfinished Business (2015),5.4,2.7
61,American Ultra (2015),6.5,3.25
62,True Story (2015),6.3,3.15
63,Child 44 (2015),6.4,3.2
64,Dark Places (2015),6.3,3.15
65,Birdman (2014),7.9,3.95
66,The Gift (2015),7.6,3.8
67,Unfriended (2015),5.9,2.95
68,Monkey Kingdom (2015),7.3,3.65
69,Mr. Turner (2014),6.9,3.45
70,Seymour: An Introduction (2015),7.7,3.85
71,The Wrecking Crew (2015),7.8,3.9
72,American Sniper (2015),7.4,3.7
73,Furious 7 (2015),7.4,3.7
74,The Hobbit: The Battle of the Five Armies (2014),7.5,3.75
75,San Andreas (2015),6.5,3.25
76,Straight Outta Compton (2015),8.4,4.2
77,Vacation (2015),6.3,3.15
78,Chappie (2015),7.0,3.5
79,Poltergeist (2015),5.0,2.5
80,Paper Towns (2015),6.9,3.45
81,Big Eyes (2014),7.0,3.5
82,Blackhat (2015),5.4,2.7
83,Self/less (2015),6.6,3.3
84,Sinister 2 (2015),5.5,2.75
85,Little Boy (2015),7.4,3.7
86,Me and Earl and The Dying Girl (2015),8.2,4.1
87,Maggie (2015),5.6,2.8
88,Mad Max: Fury Road (2015),8.3,4.15
89,Spy (2015),7.3,3.65
90,The SpongeBob Movie: Sponge Out of Water (2015),6.1,3.05
91,Paddington (2015),7.2,3.6
92,Dope (2015),7.5,3.75
93,What We Do in the Shadows (2015),7.6,3.8
94,The Overnight (2015),6.9,3.45
95,The Salt of the Earth (2015),8.4,4.2
96,Song of the Sea (2014),8.2,4.1
97,Fifty Shades of Grey (2015),4.2,2.1
98,Get Hard (2015),6.1,3.05
99,Focus (2015),6.6,3.3
100,Jupiter Ascending (2015),5.5,2.75
101,The Gallows (2015),4.4,2.2
102,The Second Best Exotic Marigold Hotel (2015),6.6,3.3
103,Strange Magic (2015),5.7,2.85
104,The Gunman (2015),5.8,2.9
105,Hitman: Agent 47 (2015),5.9,2.95
106,Cake (2015),6.5,3.25
107,The Vatican Tapes (2015),4.6,2.3
108,A Little Chaos (2015),6.4,3.2
109,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,3.55
110,Escobar: Paradise Lost (2015),6.6,3.3
111,Into the Woods (2014),6.0,3.0
112,It Follows (2015),6.9,3.45
113,Inherent Vice (2014),6.7,3.35
114,A Most Violent Year (2014),7.1,3.55
115,While We're Young (2015),6.4,3.2
116,Clouds of Sils Maria (2015),6.8,3.4
117,Testament of Youth (2015),7.3,3.65
118,Infinitely Polar Bear (2015),7.2,3.6
119,Phoenix (2015),7.2,3.6
120,The Wolfpack (2015),7.1,3.55
121,The Stanford Prison Experiment (2015),7.1,3.55
122,Tangerine (2015),7.4,3.7
123,Magic Mike XXL (2015),6.3,3.15
124,Home (2015),6.7,3.35
125,The Wedding Ringer (2015),6.7,3.35
